#,カテゴリ,品名,数,入手場所,URL,メモ,購入完了日
1,おむつ,紙おむつ,3パック,Amazon,https://amzn.to/2XxpEyT,テープがとめやすい。おしっこお知らせラインがわかりやすい,
2,おむつ,おむつ用ゴミ箱,1,Amazon,https://amzn.to/2K2FIFJ,スチール製でにおい移りしない。容量30L,
3,おむつ,おしりふき,1箱,アカチャンホンポ,https://akachan.omni7.jp/detail/538003300,厚手のもの,
4,おむつ,おしりふきのふた,2,アカチャンホンポ,https://akachan.omni7.jp/detail/486003700,ワンプッシュオープンタイプのおしりふき用フタ,
5,授乳,粉ミルク,1,Amazon,https://amzn.to/2XwgkLj,母乳に成分が近い,
6,授乳,液体ミルク,1,Amazon,https://amzn.to/2WBSSQM,非常用,
7,授乳,お湯ポット,1,Amazon,https://amzn.to/2K7eLAC,70度設定できる。容量3L,
8,授乳,授乳用品セット,1,アカチャンホンポ,https://akachan.omni7.jp/detail/436002000,,
9,授乳,哺乳びん,2,Amazon,https://amzn.to/2WZ9uBm,授乳用品セットだけだと足りない,
10,授乳,乳首SSサイズ,3,Amazon,https://amzn.to/2XwIgPj,,
11,授乳,電動搾乳機,1,Amazon,https://amzn.to/2XxZjk6,,
12,授乳,母乳冷凍パック,1箱,Amazon,https://amzn.to/2WRvX34,,
13,授乳,母乳パッド,1箱,Amazon,https://amzn.to/2Xx7Ofj,,
14,授乳,電子レンジ消毒ケース,1,Amazon,https://amzn.to/2WorK2z,電動搾乳機のパーツ消毒用,
15,授乳,哺乳瓶干し,1,ニトリ,https://www.nitori-net.jp/store/ja/ec/8987552,グラススタンドを哺乳瓶干しとして使用,
16,授乳,哺乳瓶おけ,1,ニトリ,https://www.nitori-net.jp/store/ja/ec/8980356s,ステンレス洗いおけ,
17,授乳,シリコン製トング,1,ニトリ,https://www.nitori-net.jp/store/ja/ec/8977433,消毒後の哺乳瓶パーツや電動搾乳機パーツ用,
18,部屋,ジョイントマット,1セット,Amazon,https://amzn.to/2WNnsWR,クッション・防音用,
19,部屋,せんべい座布団,1,洛中高岡屋,https://takaokaya.shop-pro.jp/?pid=67260042,日常の居場所用,
20,部屋,トッポンチーノ,1,Amazon,https://amzn.to/2K4unoC,抱っこ布団。首のすわっていない赤ちゃんの抱っこが楽。背中スイッチ対策,
21,部屋,バランスボール,1,ニトリ,https://www.nitori-net.jp/store/ja/ec/8522226s,あやすために使用,
22,部屋,やわらかポリエチレンケース・中,2,無印良品,https://www.muji.net/store/cmdty/detail/4549738749479,おむつ収納、バスタオル収納に使用,
23,部屋,やわらかポリエチレンケース・ハーフ・中,8,無印良品,https://www.muji.net/store/cmdty/detail/4549738749509,服、ベビーケア用品収納に使用,
24,沐浴,ベビーバス,1,アカチャンホンポ,https://akachan.omni7.jp/detail/537006200,,
25,沐浴,手おけ,1,ニトリ,https://www.nitori-net.jp/store/ja/ec/8512089s,,
26,沐浴,ベビーソープ,1,Amazon,https://amzn.to/2Xx0CQn,ポンプ泡タイプ,
27,沐浴,バスタオル,5,アカチャンホンポ,https://akachan.omni7.jp/detail/365006600,,
28,寝具,ベビーベッド,1,ダスキンレントオール,https://www.kasite.net/rent/cart/Detail.do?code=b01-000010&category=010100,レンタル。レギュラーサイズ・立ちベッド・ツーオープン,
29,寝具,布団セット,1,Amazon,https://amzn.to/2I3bMXQ,レギュラーサイズ。8点セット,
30,寝具,防水シーツ,3,アカチャンホンポ,https://akachan.omni7.jp/detail/365005900,,
31,寝具,ナイトライト,1,Amazon,https://amzn.to/2XtpvMG,,
32,ベビーケア,ガーゼハンカチ,20,アカチャンホンポ,https://akachan.omni7.jp/detail/456003000,,
33,ベビーケア,保湿用ローション,1,Amazon,https://amzn.to/2GiOjlQ,,
34,ベビーケア,体温計,1,Amazon,https://amzn.to/2I39Hx0,おでこにかざして0.7秒で測定できる,
35,ベビーケア,乳児用爪切りハサミ,1,Amazon,https://amzn.to/2GhAyUf,,
36,ベビーケア,電動爪ヤスリ,1,Amazon,https://amzn.to/2K3qdx4,,
37,ベビーケア,電動鼻水吸入器,1,Amazon,https://amzn.to/2WjfiB3,,
38,服,ベビー服,5,アカチャンホンポ、西松屋,-,店舗で購入,
39,服,短肌着,5,アカチャンホンポ、西松屋,-,店舗で購入,
40,服,長肌着,2,アカチャンホンポ、西松屋,-,店舗で購入,
41,服,おくるみ,5,Amazon,https://amzn.to/2WXYtjq,,
42,服,スタイ,1,オリジナルプリント.jp,https://originalprint.jp/baby/%E3%83%99%E3%83%93%E3%83%BC%E3%83%93%E3%83%96,オリジナルスタイを作成,
43,おでかけ,ベビーカー,1,知人から譲り受け,https://pigeon-htravel.com/pattan/,,
44,おでかけ,スリング（エルゴ）,1,アカチャンホンポ,https://akachan.omni7.jp/detail/308002600,,
45,時短,ドラム式洗濯乾燥機,1,Amazon,https://amzn.to/2WpNlHG,洗濯容量11kg,
46,時短,食洗機,1,Amazon,https://amzn.to/2WtcCkh,水道工事不要,
47,時短,食洗機専用洗剤,1,Amazon,https://amzn.to/31mOzXZ,,
48,時短,コードレス掃除機,1,Amazon,https://amzn.to/2WQyBpT,紙パック式,
49,時短,名前ゴム印,1,ハンコヤドットコム,https://www.gom-in.com/shop/item/GO-KJ-DS-0531.html,,